"PK_PRODUNITID"|"FK_SUPPLIERID"|"FK_PRODUCTID"|"UPC_CODE"|"INVENTORY_CODE"|"PRICE"|"VOLUME"|"SHIPWEIGHT"|"SHIPHEIGHT"|"SHIPWIDTH"|"SHIPLENGTH"|"VOLUMESALE"|"VOLUMEUNIT"|"DATEMODIFIED"|"DATECREATED"|"STATUS"
"96"|"0"|"22"||"#1013B"|"118.75"|"5"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-08-18 17:39:09"|"2008-08-18 15:39:09"|"active"
"97"|"0"|"23"||"#1057C"|"6.25"|"16"|"0"|"0"|"2.25"|"2.25"|"1"|"o.z."|"2008-08-18 17:39:45"|"2008-08-18 15:39:45"|"active"
"98"|"0"|"23"||"#1057C"|"6"|"16"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 17:40:10"|"2008-08-18 15:40:10"|"active"
"99"|"0"|"23"||"#1057"|"27"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 17:40:28"|"2008-08-18 15:40:28"|"active"
"100"|"0"|"23"||"#1057A"|"25"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 17:40:48"|"2008-08-18 15:40:48"|"active"
"101"|"0"|"23"||"#1057B"|"123.75"|"5"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-08-18 17:41:10"|"2008-08-18 15:41:10"|"active"
"102"|"0"|"25"||"#1038C"|"6"|"16"|"0"|"0"|"2.25"|"2.25"|"1"|"o.z."|"2008-08-18 17:41:32"|"2008-08-18 15:41:32"|"active"
"103"|"0"|"25"||"#1038C"|"5.75"|"16"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 17:41:49"|"2008-08-18 15:41:49"|"active"
"104"|"0"|"25"||"#1038"|"22"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 17:42:07"|"2008-08-18 15:42:07"|"active"
"105"|"0"|"25"||"#1038A"|"20"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 17:42:32"|"2008-08-18 15:42:32"|"active"
"106"|"0"|"25"||"#1038B"|"98.75"|"5"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-08-18 17:42:54"|"2008-08-18 15:42:54"|"active"
"107"|"0"|"26"||"#1012C"|"6.25"|"16"|"0"|"0"|"2.25"|"2.25"|"1"|"o.z."|"2008-08-18 17:43:16"|"2008-08-18 15:43:16"|"active"
"108"|"0"|"26"||"#1012C"|"6"|"16"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 17:43:28"|"2008-08-18 15:43:28"|"active"
"109"|"0"|"26"||"#1012"|"27"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 17:43:44"|"2008-08-18 15:43:44"|"active"
"110"|"0"|"26"||"#1012A"|"25"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 17:44:02"|"2008-08-18 15:44:02"|"active"
"111"|"0"|"26"||"#1012B"|"123.75"|"5"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-08-18 17:44:26"|"2008-08-18 15:44:26"|"active"
"112"|"0"|"27"||"#1014C"|"7.25"|"16"|"0"|"0"|"2.25"|"2.25"|"1"|"o.z."|"2008-08-18 17:45:03"|"2008-08-18 15:45:03"|"active"
"113"|"0"|"27"||"#1014C"|"7"|"16"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 17:45:23"|"2008-08-18 15:45:23"|"active"
"114"|"0"|"27"||"#1014"|"30"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 17:46:02"|"2008-08-18 15:46:02"|"active"
"115"|"0"|"27"||"#1014A"|"28"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 17:46:19"|"2008-08-18 15:46:19"|"active"
"116"|"0"|"27"||"#1014B"|"138.75"|"5"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-08-18 17:46:44"|"2008-08-18 15:46:44"|"active"
"117"|"0"|"28"||"#1040C"|"6"|"16"|"0"|"0"|"2.25"|"2.25"|"1"|"o.z."|"2008-08-18 17:47:06"|"2008-08-18 15:47:06"|"active"
"118"|"0"|"28"||"#1040C"|"5.75"|"16"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 17:47:37"|"2008-08-18 15:47:37"|"active"
"119"|"0"|"28"||"#1040"|"24"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 17:47:54"|"2008-08-18 15:47:54"|"active"
"120"|"0"|"28"||"#1040A"|"22"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 17:48:09"|"2008-08-18 15:48:09"|"active"
"121"|"0"|"28"||"#1040B"|"108.75"|"5"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-08-18 17:48:27"|"2008-08-18 15:48:27"|"active"
"122"|"0"|"29"||"#1021Q"|"18"|"32"|"0"|"0"|"0"|"0"|"1"||"2008-09-29 16:59:15"|"2008-08-18 15:49:30"|"active"
"123"|"0"|"29"||"#1021"|"35"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 17:49:54"|"2008-08-18 15:49:54"|"active"
"124"|"0"|"29"||"#1021A"|"33"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 17:50:20"|"2008-08-18 15:50:20"|"active"
"125"|"0"|"29"||"#1021B"|"163.75"|"5"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-08-18 17:50:41"|"2008-08-18 15:50:41"|"active"
"126"|"0"|"30"||"#1016C"|"6"|"16"|"0"|"0"|"2.25"|"2.25"|"1"|"o.z."|"2008-08-18 17:51:06"|"2008-08-18 15:51:06"|"active"
"127"|"0"|"30"||"#1016C"|"5.75"|"16"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 17:51:24"|"2008-08-18 15:51:24"|"active"
"128"|"0"|"30"||"#1016"|"25"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 17:51:37"|"2008-08-18 15:51:37"|"active"
"129"|"0"|"30"||"#1016A"|"23"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 17:51:50"|"2008-08-18 15:51:50"|"active"
"130"|"0"|"30"||"#1016B"|"113.75"|"5"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-08-18 17:52:09"|"2008-08-18 15:52:09"|"active"
"131"|"0"|"31"||"#1019"|"33"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 17:52:32"|"2008-08-18 15:52:32"|"active"
"132"|"0"|"31"||"#1019A"|"31"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 17:52:49"|"2008-08-18 15:52:49"|"active"
"133"|"0"|"32"||"#1036C"|"6"|"16"|"0"|"0"|"2.25"|"2.25"|"1"|"o.z."|"2008-08-18 17:53:07"|"2008-08-18 15:53:07"|"active"
"134"|"0"|"32"||"#1036C"|"5.75"|"16"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 17:53:25"|"2008-08-18 15:53:25"|"active"
"135"|"0"|"32"||"#1036"|"18"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 17:53:52"|"2008-08-18 15:53:52"|"active"
"136"|"0"|"32"||"#1036A"|"16"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 17:54:06"|"2008-08-18 15:54:06"|"active"
"137"|"0"|"72"||"#1020C"|"7.5"|"16"|"0"|"0"|"2.25"|"2.25"|"1"|"o.z."|"2008-08-18 19:49:17"|"2008-08-18 17:49:17"|"active"
"138"|"0"|"72"||"#1020C"|"7.25"|"16"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 19:49:39"|"2008-08-18 17:49:39"|"active"
"139"|"0"|"72"||"#1020"|"33"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 19:49:57"|"2008-08-18 17:49:57"|"active"
"140"|"0"|"72"||"#1020A"|"31"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 19:50:48"|"2008-08-18 17:50:48"|"active"
"141"|"0"|"72"||"#1020B"|"153.75"|"5"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-08-18 19:51:19"|"2008-08-18 17:51:19"|"active"
"142"|"0"|"33"||"#1061C"|"7.5"|"16"|"0"|"0"|"2.25"|"2.25"|"1"|"o.z."|"2008-08-18 19:53:07"|"2008-08-18 17:53:07"|"active"
"143"|"0"|"33"||"#1061C"|"7.25"|"16"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 19:58:50"|"2008-08-18 17:58:50"|"active"
"144"|"0"|"33"||"#1061"|"30"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 19:59:40"|"2008-08-18 17:59:40"|"active"
"145"|"0"|"33"||"#1061A"|"28"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 20:00:26"|"2008-08-18 18:00:26"|"active"
"146"|"0"|"34"||"#1023C"|"7.5"|"16"|"0"|"0"|"2.25"|"2.25"|"1"|"o.z."|"2008-08-18 20:01:42"|"2008-08-18 18:01:42"|"active"
"147"|"0"|"34"||"#1023C"|"7.25"|"16"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 20:02:09"|"2008-08-18 18:02:09"|"active"
"148"|"0"|"34"||"#1023"|"31"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 20:02:21"|"2008-08-18 18:02:21"|"active"
"149"|"0"|"34"||"#1023A"|"29"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 20:02:39"|"2008-08-18 18:02:39"|"active"
"150"|"0"|"35"||"#1066"|"14"|"4"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-08-18 20:02:56"|"2008-08-18 18:02:56"|"active"
"151"|"0"|"36"||"#1008C"|"3.75"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-08-18 20:03:36"|"2008-08-18 18:03:36"|"active"
"152"|"0"|"36"||"#1008C"|"3.5"|"8"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 20:03:51"|"2008-08-18 18:03:51"|"active"
